,namePlayer,value,BIRTHDATE,HEIGHT,WEIGHT,DRAFT_YEAR,POSITION,DRAFT_NUMBER,PTS,AST,REB,PIE
0,Bogdan Bogdanovic,18000000.0,1992-08-18,78.0,220.0,2014,Guard,27,9.6,2.3,3.3,0.08
1,Brandon Goodwin,1701593.0,1995-10-02,72.0,180.0,Undrafted,Guard,Undrafted,3.9,1.6,1.0,0.062
2,Bruno Fernando,1517981.0,1998-08-15,81.0,240.0,2019,Forward-Center,34,1.5,0.4,3.0,0.073
3,Cam Reddish,4458000.0,1999-09-01,80.0,218.0,2019,Forward-Guard,10,11.2,1.3,4.0,0.053
4,Clint Capela,16000000.0,1994-05-18,82.0,240.0,2014,Center,25,14.3,0.9,14.2,0.161
5,Danilo Gallinari,19500000.0,1988-08-08,82.0,233.0,2008,Forward,6,12.8,1.5,3.9,0.11
6,De'Andre Hunter,7422000.0,1997-12-02,80.0,225.0,2019,Forward-Guard,4,16.7,2.2,5.2,0.114
7,John Collins,4137302.0,1997-09-23,81.0,235.0,2017,Forward-Center,19,18.3,1.3,7.8,0.124
8,Kevin Huerter,2761920.0,1998-08-27,79.0,190.0,2018,Guard-Forward,19,11.9,3.6,3.7,0.077
9,Khyri Thomas,744684.0,1996-05-08,75.0,210.0,2018,Guard,38,2.3,0.3,0.6,
10,Kris Dunn,4767000.0,1994-03-18,75.0,205.0,2016,Guard,5,7.3,3.4,3.6,0.082
11,Lou Williams,8000000.0,1986-10-27,73.0,175.0,2005,Guard,45,12.0,3.5,2.1,0.103
12,Solomon Hill,1620564.0,1991-03-18,78.0,226.0,2013,Forward,23,4.2,0.9,2.3,0.038
13,Tony Snell,12178571.0,1991-11-10,78.0,213.0,2013,Guard,20,5.6,1.4,2.3,0.072
14,Trae Young,6571800.0,1998-09-19,73.0,180.0,2018,Guard,5,25.7,9.4,4.1,0.151
15,Carsen Edwards,1517981.0,1998-03-12,71.0,200.0,2019,Guard,33,5.1,0.6,1.1,0.076
16,Demetrius Jackson,92857.0,1994-09-07,73.0,201.0,2016,Guard,45,1.8,0.7,0.7,
17,Evan Fournier,17450000.0,1992-10-29,79.0,205.0,2012,Guard-Forward,20,19.6,3.7,3.0,0.107
18,Grant Williams,2498760.0,1998-11-30,78.0,236.0,2019,Forward,22,5.0,0.9,2.9,0.043
19,Guerschon Yabusele,1039080.0,1995-12-17,80.0,260.0,2016,Forward,16,2.3,0.4,1.4,
20,Jaylen Brown,23437500.0,1996-10-24,78.0,223.0,2016,Guard-Forward,3,24.7,3.9,5.6,0.132
21,Jayson Tatum,9897120.0,1998-03-03,80.0,210.0,2017,Forward-Guard,3,24.9,4.3,6.8,0.145
22,Kemba Walker,34379100.0,1990-05-08,72.0,184.0,2011,Guard,9,17.7,4.6,3.6,0.114
23,Luke Kornet,2250000.0,1995-07-15,86.0,250.0,Undrafted,Forward-Center,Undrafted,2.0,0.3,1.2,0.08
24,Marcus Smart,13446428.0,1994-03-06,75.0,220.0,2014,Guard,6,12.8,5.4,2.8,0.09
25,Moritz Wagner,2161920.0,1997-04-26,83.0,245.0,2018,Forward-Center,25,7.1,1.3,2.9,0.094
26,Romeo Langford,3631200.0,1999-10-25,76.0,216.0,2019,Guard-Forward,14,2.5,0.4,1.3,0.024
27,Semi Ojeleye,1752950.0,1994-12-05,78.0,240.0,2017,Forward,37,5.4,0.8,3.0,0.063
28,Tristan Thompson,9258000.0,1991-03-13,81.0,254.0,2011,Center-Forward,4,7.9,1.0,8.4,0.106
29,Alize Johnson,110998.0,1996-04-22,79.0,212.0,2018,Forward,50,2.0,0.4,2.8,0.098
30,Andre Roberson,163818.0,1991-12-04,79.0,210.0,2013,Guard-Forward,26,1.2,0.8,3.0,0.023
31,Blake Griffin,776873.0,1989-03-16,81.0,250.0,2009,Forward,1,11.6,3.5,5.0,0.085
32,Blake Griffin,32670565.0,1989-03-16,81.0,250.0,2009,Forward,1,11.6,3.5,5.0,0.085
33,DeAndre Jordan,10375678.0,1988-07-21,83.0,265.0,2008,Center,35,7.6,1.7,7.5,0.108
