,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,GAME_ID
0,1165,Luis,Grillo,8,0029600059
1,1140,Bruce,Alexander,9,0029600059
2,1153,Joe,Crawford,17,0029600059
3,1146,Tony,Brothers,56,0029600121
4,1157,Terry,Durham,31,0029600121
5,1177,Ed,Middleton,18,0029600121
6,1147,Mike,Callahan,24,0029600114
7,1142,Dick,Bavetta,27,0029600114
8,1202,Tommie,Wood,39,0029600114
9,1152,Dan,Crawford,43,0029600130
10,1144,Ted,Bernhardt,16,0029600130
11,1151,Sean,Corbin,64,0029600130
12,1194,Bill,Spooner,38,0029600146
13,1145,Joe,Borgia,33,0029600146
14,1182,Ronnie,Nunn,34,0029600146
15,1151,Sean,Corbin,64,0029600161
16,1168,David,Jones,36,0029600161
17,1165,Luis,Grillo,8,0029600188
18,1153,Joe,Crawford,17,0029600188
19,1186,Blane,Reichelt,37,0029600188
20,1167,Steve,Javie,29,0029600213
21,1148,James,Capers,19,0029600213
22,1157,Terry,Durham,31,0029600213
23,1158,Hugh,Evans,25,0029600221
24,1201,Leon,Wood,40,0029600221
25,1199,Tom,Washington,49,0029600221
26,1146,Tony,Brothers,56,0029600247
27,1192,Bennett,Salvatore,15,0029600247
28,1157,Terry,Durham,31,0029600247
29,1163,Bernie,Fryer,7,0029600248
30,1176,Monty,McCutchen,58,0029600248
31,1158,Hugh,Evans,25,0029600248
32,1158,Hugh,Evans,25,0029600365
33,1199,Tom,Washington,49,0029600365
34,1363,Bennie,Adams,47,0029600365
35,1163,Bernie,Fryer,07,0029600689
36,1199,Tom,Washington,49,0029600689
37,1164,Ron,Garretson,10,0029600767
38,1151,Sean,Corbin,64,0029600767
39,1144,Ted,Bernhardt,16,0029600767
40,1145,Joe,Borgia,33,0029600762
41,1167,Steve,Javie,29,0029600762
42,1190,Eddie,Rush,32,0029600762
43,1142,Dick,Bavetta,27,0029700013
44,1150,Jimmy,Clark,6,0029700013
45,1194,Bill,Spooner,22,0029700013
46,1157,Terry,Durham,31,0029700004
47,1176,Monty,McCutchen,58,0029700004
48,1192,Bennett,Salvatore,15,0029700004
49,1142,Dick,Bavetta,27,0029700025
50,1150,Jimmy,Clark,6,0029700025
51,1159,Kevin,Fehr,62,0029700025
52,1363,Bennie,Adams,47,0029700041
53,1158,Hugh,Evans,25,0029700041
54,1199,Tom,Washington,49,0029700041
55,1140,Bruce,Alexander,9,0029700056
56,1195,Derrick,Stafford,14,0029700056
57,1160,Nolan,Fine,50,0029700056
58,1167,Steve,Javie,29,0029700085
59,1194,Bill,Spooner,22,0029700085
60,1159,Kevin,Fehr,62,0029700085
61,1142,Dick,Bavetta,27,0029700113
62,1168,David,Jones,36,0029700113
63,1151,Sean,Corbin,64,0029700113
64,1188,Leroy,Richardson,51,0029700144
65,1184,Ron,Olesiak,44,0029700144
66,1167,Steve,Javie,29,0029700144
67,1204,Derek,Richardson,63,0029700169
68,1140,Bruce,Alexander,9,0029700169
69,1166,Hue,Hollins,42,0029700169
70,1167,Steve,Javie,29,0029700178
71,1168,David,Jones,36,0029700178
72,1194,Bill,Spooner,22,0029700178
73,1204,Derek,Richardson,63,0029700254
74,1195,Derrick,Stafford,14,0029700254
75,1163,Bernie,Fryer,7,0029700254
76,1180,Jack,Nies,35,0029700258
77,1174,Ken,Mauer,41,0029700258
78,1193,Michael,Smith,59,0029700258
79,1168,David,Jones,36,0029700281
80,1151,Sean,Corbin,64,0029700281
81,1167,Steve,Javie,29,0029700281
82,1177,Ed,Middleton,18,0029700374
83,1192,Bennett,Salvatore,15,0029700374
84,1201,Leon,Wood,40,0029700374
85,1203,Mark,Wunderlich,61,0029700385
86,1181,Tommy,Nunez,28,0029700385
87,1148,James,Capers,19,0029700385
88,1185,Violet,Palmer,66,0029700409
89,1186,Blane,Reichelt,37,0029700409
90,1181,Tommy,Nunez,28,0029700409
91,1168,David,Jones,36,0029700438
92,1150,Jimmy,Clark,6,0029700438
93,1143,Gary,Benson,30,0029700438
94,1204,Derek,Richardson,63,0029700712
95,1140,Bruce,Alexander,9,0029700712
96,1161,Joe,Forte,45,0029700712
97,1183,Bill,Oakes,21,0029700778
98,1186,Blane,Reichelt,37,0029700778
99,1185,Violet,Palmer,66,0029700778
100,1146,Tony,Brothers,56,0029700804
101,1192,Bennett,Salvatore,15,0029700804
102,1177,Ed,Middleton,18,0029700804
103,1193,Michael,Smith,59,0029700842
104,1151,Sean,Corbin,64,0029700842
105,1181,Tommy,Nunez,28,0029700842
106,1159,Kevin,Fehr,62,0029700915
107,1168,David,Jones,36,0029700915
108,1195,Derrick,Stafford,14,0029700915
109,1157,Terry,Durham,31,0029701032
110,1165,Luis,Grillo,8,0029701032
