,id,name_player,name_team,age,height,weight,position,draft_round,pts,ast,reb,all_star_appearances,team_salary,value
0,203992,Bogdan Bogdanovic,Atlanta Hawks,30,78.0,220.0,Guard,1,9.6,2.3,3.3,0.0,107071563.0,18000000.0
1,1629164,Brandon Goodwin,Atlanta Hawks,27,72.0,180.0,Guard,0,3.9,1.6,1.0,0.0,107071563.0,1701593.0
2,1628981,Bruno Fernando,Atlanta Hawks,24,81.0,240.0,Forward-Center,2,1.5,0.4,3.0,0.0,107071563.0,1517981.0
3,1629629,Cam Reddish,Atlanta Hawks,23,80.0,218.0,Forward-Guard,1,11.2,1.3,4.0,0.0,107071563.0,4458000.0
4,203991,Clint Capela,Atlanta Hawks,28,82.0,240.0,Center,1,14.3,0.9,14.2,0.0,107071563.0,16000000.0
5,201568,Danilo Gallinari,Atlanta Hawks,34,82.0,233.0,Forward,1,12.8,1.5,3.9,0.0,107071563.0,19500000.0
6,1629631,De'Andre Hunter,Atlanta Hawks,24,80.0,225.0,Forward-Guard,1,16.7,2.2,5.2,0.0,107071563.0,7422000.0
7,1628381,John Collins,Atlanta Hawks,25,81.0,235.0,Forward-Center,1,18.3,1.3,7.8,0.0,107071563.0,4137302.0
8,1628989,Kevin Huerter,Atlanta Hawks,24,79.0,190.0,Guard-Forward,1,11.9,3.6,3.7,0.0,107071563.0,2761920.0
9,1629017,Khyri Thomas,Atlanta Hawks,26,75.0,210.0,Guard,2,2.3,0.3,0.6,0.0,107071563.0,744684.0
10,1627739,Kris Dunn,Atlanta Hawks,28,75.0,205.0,Guard,1,7.3,3.4,3.6,0.0,107071563.0,4767000.0
11,101150,Lou Williams,Atlanta Hawks,35,73.0,175.0,Guard,2,12.0,3.5,2.1,0.0,107071563.0,8000000.0
12,203524,Solomon Hill,Atlanta Hawks,31,78.0,226.0,Forward,1,4.2,0.9,2.3,0.0,107071563.0,1620564.0
13,203503,Tony Snell,Atlanta Hawks,30,78.0,213.0,Guard,1,5.6,1.4,2.3,0.0,107071563.0,12178571.0
14,1629027,Trae Young,Atlanta Hawks,24,73.0,180.0,Guard,1,25.7,9.4,4.1,0.0,107071563.0,6571800.0
15,1629035,Carsen Edwards,Boston Celtics,24,71.0,200.0,Guard,2,5.1,0.6,1.1,0.0,132055255.5,1517981.0
16,1627743,Demetrius Jackson,Boston Celtics,28,73.0,201.0,Guard,2,1.8,0.7,0.7,0.0,132055255.5,92857.0
17,203095,Evan Fournier,Boston Celtics,29,79.0,205.0,Guard-Forward,1,19.6,3.7,3.0,0.0,132055255.5,17450000.0
18,1629684,Grant Williams,Boston Celtics,23,78.0,236.0,Forward,1,5.0,0.9,2.9,0.0,132055255.5,2498760.0
19,1627824,Guerschon Yabusele,Boston Celtics,26,80.0,260.0,Forward,1,2.3,0.4,1.4,0.0,132055255.5,1039080.0
20,1627759,Jaylen Brown,Boston Celtics,25,78.0,223.0,Guard-Forward,1,24.7,3.9,5.6,0.0,132055255.5,23437500.0
21,1628369,Jayson Tatum,Boston Celtics,24,80.0,210.0,Forward-Guard,1,24.9,4.3,6.8,0.0,132055255.5,9897120.0
22,202689,Kemba Walker,Boston Celtics,32,72.0,184.0,Guard,1,17.7,4.6,3.6,0.0,132055255.5,34379100.0
23,1628436,Luke Kornet,Boston Celtics,27,86.0,250.0,Forward-Center,0,2.0,0.3,1.2,0.0,132055255.5,2250000.0
24,203935,Marcus Smart,Boston Celtics,28,75.0,220.0,Guard,1,12.8,5.4,2.8,0.0,132055255.5,13446428.0
25,1629021,Moritz Wagner,Boston Celtics,25,83.0,245.0,Forward-Center,1,7.1,1.3,2.9,0.0,132055255.5,2161920.0
26,1629641,Romeo Langford,Boston Celtics,22,76.0,216.0,Guard-Forward,1,2.5,0.4,1.3,0.0,132055255.5,3631200.0
27,1628400,Semi Ojeleye,Boston Celtics,27,78.0,240.0,Forward,2,5.4,0.8,3.0,0.0,132055255.5,1752950.0
28,202684,Tristan Thompson,Boston Celtics,31,81.0,254.0,Center-Forward,1,7.9,1.0,8.4,0.0,132055255.5,9258000.0
29,1628993,Alize Johnson,Brooklyn Nets,26,79.0,212.0,Forward,2,2.0,0.4,2.8,0.0,167418409.5,110998.0
30,203460,Andre Roberson,Brooklyn Nets,30,79.0,210.0,Guard-Forward,1,1.2,0.8,3.0,0.0,167418409.5,163818.0
31,201933,Blake Griffin,Brooklyn Nets,33,81.0,250.0,Forward,1,11.6,3.5,5.0,0.0,167418409.5,776873.0
32,201933,Blake Griffin,Detroit Pistons,33,81.0,250.0,Forward,1,11.6,3.5,5.0,0.0,110176992.5,32670565.0
33,201599,DeAndre Jordan,Brooklyn Nets,34,83.0,265.0,Center,2,7.6,1.7,7.5,0.0,167418409.5,10375678.0
34,202697,Iman Shumpert,Brooklyn Nets,32,77.0,212.0,Guard,1,1.0,0.0,0.5,0.0,167418409.5,447155.0
35,201935,James Harden,Brooklyn Nets,33,77.0,220.0,Guard,1,25.3,11.2,7.9,0.0,167418409.5,41254920.0
36,201145,Jeff Green,Brooklyn Nets,36,80.0,235.0,Forward,1,9.8,1.5,3.8,0.0,167418409.5,1620564.0
37,203925,Joe Harris,Brooklyn Nets,31,78.0,220.0,Guard-Forward,2,14.7,1.8,3.5,0.0,167418409.5,16071429.0
38,201142,Kevin Durant,Brooklyn Nets,34,82.0,240.0,Forward,1,29.0,5.3,7.3,0.0,167418409.5,40108950.0
39,202681,Kyrie Irving,Brooklyn Nets,30,74.0,195.0,Guard,1,28.1,5.7,4.8,0.0,167418409.5,33460350.0
40,200746,LaMarcus Aldridge,Brooklyn Nets,37,83.0,250.0,Center-Forward,1,13.7,1.7,4.5,0.0,167418409.5,554988.0
41,200746,LaMarcus Aldridge,San Antonio Spurs,37,83.0,250.0,Center-Forward,1,13.7,1.7,4.5,0.0,93038611.5,16750000.0
42,1629013,Landry Shamet,Brooklyn Nets,25,76.0,190.0,Guard,1,7.8,1.1,1.8,0.0,167418409.5,2090040.0
43,1629651,Nicolas Claxton,Brooklyn Nets,23,83.0,215.0,Forward-Center,2,9.8,0.9,4.3,0.0,167418409.5,1517981.0
44,203943,Noah Vonleh,Brooklyn Nets,27,82.0,257.0,Forward,1,0.0,0.3,0.3,0.0,167418409.5,263995.0
45,203658,Norvel Pelle,Brooklyn Nets,29,82.0,231.0,Center,0,2.3,0.3,2.0,0.0,167418409.5,217845.0
46,203658,Norvel Pelle,New York Knicks,29,82.0,231.0,Center,0,2.3,0.3,2.0,0.0,72815528.0,99020.0
47,203658,Norvel Pelle,Sacramento Kings,29,82.0,231.0,Center,0,2.3,0.3,2.0,0.0,102997290.5,99020.0
48,203915,Spencer Dinwiddie,Brooklyn Nets,29,77.0,215.0,Guard,2,6.7,3.0,4.3,0.0,167418409.5,11454048.0
49,1629076,Tyler Cook,Brooklyn Nets,25,80.0,255.0,Forward,0,0.7,0.3,1.5,0.0,167418409.5,99020.0
50,204020,Tyler Johnson,Brooklyn Nets,30,75.0,186.0,Guard,0,5.2,0.9,1.8,0.0,167418409.5,1620564.0
51,202687,Bismack Biyombo,Charlotte Hornets,30,80.0,255.0,Center,1,5.5,1.3,5.5,0.0,95672374.0,3500000.0
52,202954,Brad Wanamaker,Charlotte Hornets,33,75.0,210.0,Guard,0,4.7,2.5,1.7,0.0,95672374.0,2250000.0
53,1628997,Caleb Martin,Charlotte Hornets,27,77.0,205.0,Forward,0,5.3,1.1,2.6,0.0,95672374.0,1517981.0
54,1628998,Cody Martin,Charlotte Hornets,27,77.0,205.0,Forward,2,3.8,1.2,2.4,0.0,95672374.0,1517981.0
55,203469,Cody Zeller,Charlotte Hornets,30,83.0,240.0,Forward-Center,1,9.2,2.3,7.1,0.0,95672374.0,15415730.0
56,1628984,Devonte' Graham,Charlotte Hornets,27,73.0,195.0,Guard,2,13.1,5.2,2.7,0.0,95672374.0,1663861.0
57,202330,Gordon Hayward,Charlotte Hornets,32,79.0,225.0,Forward,1,20.4,4.2,5.6,0.0,95672374.0,28500000.0
58,1629667,Jalen McDaniels,Charlotte Hornets,24,81.0,205.0,Forward-Center,2,4.5,0.5,2.4,0.0,95672374.0,1517981.0
59,1628370,Malik Monk,Charlotte Hornets,24,75.0,200.0,Guard,1,12.3,1.8,2.7,0.0,95672374.0,5345687.0
60,1628970,Miles Bridges,Charlotte Hornets,24,78.0,225.0,Forward,1,9.6,2.0,5.6,0.0,95672374.0,3934320.0
61,201587,Nicolas Batum,Charlotte Hornets,33,80.0,230.0,Guard-Forward,1,8.6,2.3,4.7,0.0,95672374.0,9043478.0
62,201587,Nicolas Batum,Los Angeles Clippers,33,80.0,230.0,Guard-Forward,1,8.6,2.3,4.7,0.0,141449447.5,1620564.0
63,1626179,Terry Rozier,Charlotte Hornets,28,73.0,190.0,Guard,1,20.2,3.3,3.8,0.0,95672374.0,18900000.0
64,1629632,Coby White,Chicago Bulls,22,77.0,195.0,Guard,1,15.2,4.7,4.6,0.0,112633852.0,5572680.0
65,1626245,Cristiano Felicio,Chicago Bulls,30,83.0,270.0,Forward-Center,0,1.6,0.7,1.7,0.0,112633852.0,7529020.0
66,1628464,Daniel Theis,Chicago Bulls,30,80.0,245.0,Forward-Center,0,9.4,1.6,5.3,0.0,112633852.0,5000000.0
67,1627756,Denzel Valentine,Chicago Bulls,28,76.0,220.0,Guard,1,7.4,1.7,3.9,0.0,112633852.0,4642800.0
68,202066,Garrett Temple,Chicago Bulls,36,77.0,195.0,Guard-Forward,0,8.5,2.0,3.1,0.0,112633852.0,4767000.0
69,1629750,Javonte Green,Chicago Bulls,29,76.0,205.0,Guard-Forward,0,4.2,0.4,2.1,0.0,112633852.0,1517981.0
70,1628374,Lauri Markkanen,Chicago Bulls,25,84.0,240.0,Forward-Center,1,17.7,0.9,6.0,0.0,112633852.0,6731508.0
71,202696,Nikola Vucevic,Chicago Bulls,31,83.0,260.0,Center,1,24.5,3.8,11.7,0.0,112633852.0,26000000.0
72,1627853,Ryan Arcidiacono,Chicago Bulls,28,75.0,195.0,Guard,0,3.2,1.2,1.6,0.0,112633852.0,3000000.0
73,201152,Thaddeus Young,Chicago Bulls,34,80.0,235.0,Forward,1,12.2,4.4,6.5,0.0,112633852.0,13545000.0
74,203107,Tomas Satoransky,Chicago Bulls,30,79.0,210.0,Guard,2,7.5,4.8,2.5,0.0,112633852.0,10000000.0
75,203897,Zach LaVine,Chicago Bulls,27,77.0,200.0,Guard-Forward,1,28.2,4.9,5.1,0.0,112633852.0,19500000.0
76,203083,Andre Drummond,Cleveland Cavaliers,29,82.0,279.0,Center,1,17.5,2.6,13.5,0.0,109640788.0,27957238.0
77,203083,Andre Drummond,Los Angeles Lakers,29,82.0,279.0,Center,1,17.5,2.6,13.5,0.0,129160617.5,554988.0
78,1626224,Cedi Osman,Cleveland Cavaliers,27,79.0,230.0,Forward,2,10.1,2.7,3.6,0.0,109640788.0,8840580.0
79,1629012,Collin Sexton,Cleveland Cavaliers,23,73.0,190.0,Guard,1,24.0,4.3,2.8,0.0,109640788.0,4991880.0
80,1628422,Damyean Dotson,Cleveland Cavaliers,28,77.0,210.0,Guard,2,6.7,2.2,1.9,0.0,109640788.0,2000000.0
81,1629636,Darius Garland,Cleveland Cavaliers,22,73.0,192.0,Guard,1,16.4,5.8,2.2,0.0,109640788.0,6720720.0
82,1629731,Dean Wade,Cleveland Cavaliers,25,81.0,228.0,Forward-Center,0,4.1,0.8,2.3,0.0,109640788.0,1517981.0
83,1629685,Dylan Windler,Cleveland Cavaliers,26,78.0,196.0,Guard-Forward,1,5.4,1.1,3.6,0.0,109640788.0,2137440.0
84,1628392,Isaiah Hartenstein,Cleveland Cavaliers,24,84.0,250.0,Center-Forward,2,3.5,0.5,2.8,0.0,109640788.0,1620564.0
85,1628386,Jarrett Allen,Cleveland Cavaliers,24,83.0,243.0,Center,1,12.9,1.6,9.9,0.0,109640788.0,3909902.0
86,2747,JR Smith,Cleveland Cavaliers,37,78.0,220.0,Guard,1,12.4,2.1,3.1,0.0,109640788.0,1456667.0
87,201567,Kevin Love,Cleveland Cavaliers,34,80.0,251.0,Forward-Center,1,5.8,1.3,3.3,0.0,109640788.0,31258256.0
88,203521,Matthew Dellavedova,Cleveland Cavaliers,32,75.0,200.0,Guard,0,3.1,3.2,1.3,0.0,109640788.0,1620564.0
89,1626188,Quinn Cook,Cleveland Cavaliers,29,73.0,180.0,Guard,0,2.9,0.7,0.7,0.0,109640788.0,110998.0
90,1626188,Quinn Cook,Los Angeles Lakers,29,73.0,180.0,Guard,0,2.9,0.7,0.7,0.0,129160617.5,1000000.0
91,1629730,Rayjon Tucker,Cleveland Cavaliers,25,75.0,209.0,Guard,0,4.0,1.0,0.0,0.0,109640788.0,340000.0
92,1627752,Taurean Prince,Cleveland Cavaliers,28,79.0,218.0,Forward,1,8.3,1.7,3.6,0.0,109640788.0,12250000.0
93,1627748,Thon Maker,Cleveland Cavaliers,25,84.0,221.0,Forward-Center,1,3.8,0.5,2.3,0.0,109640788.0,309355.0
94,1627812,Yogi Ferrell,Cleveland Cavaliers,29,72.0,178.0,Guard,0,9.5,2.5,3.5,0.0,109640788.0,110998.0
