,namePlayer,value,age,HEIGHT,WEIGHT,PTS,AST,REB,PIE,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,timeLaneAgility,timeThreeQuarterCourtSprint,repsBenchPress135,pctBodyFat,heightWShoesInches,lengthHandInches,widthHandInches,timeModifiedLaneAgility
0,Bogdan Bogdanovic,18000000.0,30.0,78.0,220.0,9.6,2.3,3.3,0.08,,,,,,,,,,,,,,
1,Brandon Goodwin,1701593.0,27.0,72.0,180.0,3.9,1.6,1.0,0.062,,,,,,,,,,,,,,
2,Bruno Fernando,1517981.0,24.0,81.0,240.0,1.5,0.4,3.0,0.073,80.75,233.2,88.25,109.0,29.0,35.0,12.19,3.23,11.0,5.25,81.75,9.5,10.0,3.03
3,Bruno Fernando,1517981.0,24.0,81.0,240.0,1.5,0.4,3.0,0.073,80.75,237.0,87.25,110.0,29.5,33.5,11.29,3.21,13.0,5.4,82.25,9.25,10.0,3.05
4,Cam Reddish,4458000.0,23.0,80.0,218.0,11.2,1.3,4.0,0.053,,,,,,,,,,,,,,
5,Clint Capela,16000000.0,28.0,82.0,240.0,14.3,0.9,14.2,0.161,,,,,,,,,,,,,,
6,Danilo Gallinari,19500000.0,34.0,82.0,233.0,12.8,1.5,3.9,0.11,,,,,,,,,,,,,,
7,De'Andre Hunter,7422000.0,24.0,80.0,225.0,16.7,2.2,5.2,0.114,,,,,,,,,,,,,,
8,John Collins,4137302.0,25.0,81.0,235.0,18.3,1.3,7.8,0.124,80.25,225.2,83.25,106.5,33.0,37.5,11.66,3.27,15.0,5.4,81.5,9.0,10.0,3.27
9,Kevin Huerter,2761920.0,24.0,79.0,190.0,11.9,3.6,3.7,0.077,78.25,194.0,79.5,101.5,31.0,38.0,10.89,3.09,9.0,8.6,79.25,8.25,8.5,2.97
10,Khyri Thomas,744684.0,26.0,75.0,210.0,2.3,0.3,0.6,,74.5,198.8,82.5,101.0,30.0,35.0,10.96,3.18,14.0,6.4,75.75,8.75,9.25,3.18
11,Kris Dunn,4767000.0,28.0,75.0,205.0,7.3,3.4,3.6,0.082,75.0,,81.5,100.0,,,,,,,76.25,,,
12,Lou Williams,8000000.0,36.0,73.0,175.0,12.0,3.5,2.1,0.103,,,,,,,,,,,,,,
13,Onyeka Okongwu,5813640.0,,,,,,,,,,,,,,,,,,,,,
14,Solomon Hill,1620564.0,31.0,78.0,226.0,4.2,0.9,2.3,0.038,77.5,226.0,81.0,103.0,29.5,37.5,10.77,3.19,14.0,7.6,79.0,9.0,10.5,2.91
15,Tony Snell,12178571.0,31.0,78.0,213.0,5.6,1.4,2.3,0.072,78.0,198.2,83.5,105.5,30.0,36.5,11.36,3.25,7.0,4.85,79.25,9.0,9.5,2.84
16,Trae Young,6571800.0,24.0,73.0,180.0,25.7,9.4,4.1,0.151,72.5,177.8,75.0,95.5,,,,,,5.35,73.75,8.0,9.25,
17,Aaron Nesmith,3458400.0,,,,,,,,,,,,,,,,,,,,,
18,Carsen Edwards,1517981.0,24.0,71.0,200.0,5.1,0.6,1.1,0.076,70.75,195.6,78.25,94.5,28.5,34.5,11.59,3.2,12.0,6.3,72.0,8.5,9.25,3.15
19,Carsen Edwards,1517981.0,24.0,71.0,200.0,5.1,0.6,1.1,0.076,70.75,199.4,78.0,94.5,28.5,34.0,10.53,3.22,14.0,5.5,72.25,8.75,9.0,2.82
20,Demetrius Jackson,92857.0,28.0,73.0,201.0,1.8,0.7,0.7,,72.0,193.8,77.5,93.0,37.5,43.5,10.81,3.25,,6.5,73.25,8.25,9.0,2.87
21,Evan Fournier,17450000.0,30.0,79.0,205.0,19.6,3.7,3.0,0.107,,,,,,,,,,,,,,
