,value,BIRTHDATE,HEIGHT,WEIGHT,PTS,AST,REB,PIE,heightWOShoesInches,weightLBS,wingspanInches,reachStandingInches,verticalLeapStandingInches,verticalLeapMaxInches,timeLaneAgility,timeThreeQuarterCourtSprint,repsBenchPress135,pctBodyFat,heightWShoesInches,lengthHandInches,widthHandInches,timeModifiedLaneAgility
0,18000000.0,1992-08-18,78.0,220.0,9.6,2.3,3.3,0.08,,,,,,,,,,,,,,
1,1701593.0,1995-10-02,72.0,180.0,3.9,1.6,1.0,0.062,,,,,,,,,,,,,,
2,1517981.0,1998-08-15,81.0,240.0,1.5,0.4,3.0,0.073,80.75,233.2,88.25,109.0,29.0,35.0,12.19,3.23,11.0,5.25,81.75,9.5,10.0,3.03
3,1517981.0,1998-08-15,81.0,240.0,1.5,0.4,3.0,0.073,80.75,237.0,87.25,110.0,29.5,33.5,11.29,3.21,13.0,5.4,82.25,9.25,10.0,3.05
4,4458000.0,1999-09-01,80.0,218.0,11.2,1.3,4.0,0.053,,,,,,,,,,,,,,
5,16000000.0,1994-05-18,82.0,240.0,14.3,0.9,14.2,0.161,,,,,,,,,,,,,,
6,19500000.0,1988-08-08,82.0,233.0,12.8,1.5,3.9,0.11,,,,,,,,,,,,,,
7,7422000.0,1997-12-02,80.0,225.0,16.7,2.2,5.2,0.114,,,,,,,,,,,,,,
8,4137302.0,1997-09-23,81.0,235.0,18.3,1.3,7.8,0.124,80.25,225.2,83.25,106.5,33.0,37.5,11.66,3.27,15.0,5.4,81.5,9.0,10.0,3.27
9,2761920.0,1998-08-27,79.0,190.0,11.9,3.6,3.7,0.077,78.25,194.0,79.5,101.5,31.0,38.0,10.89,3.09,9.0,8.6,79.25,8.25,8.5,2.97
10,744684.0,1996-05-08,75.0,210.0,2.3,0.3,0.6,,74.5,198.8,82.5,101.0,30.0,35.0,10.96,3.18,14.0,6.4,75.75,8.75,9.25,3.18
11,4767000.0,1994-03-18,75.0,205.0,7.3,3.4,3.6,0.082,75.0,,81.5,100.0,,,,,,,76.25,,,
12,8000000.0,1986-10-27,73.0,175.0,12.0,3.5,2.1,0.103,,,,,,,,,,,,,,
13,5813640.0,,,,,,,,,,,,,,,,,,,,,
14,1620564.0,1991-03-18,78.0,226.0,4.2,0.9,2.3,0.038,77.5,226.0,81.0,103.0,29.5,37.5,10.77,3.19,14.0,7.6,79.0,9.0,10.5,2.91
15,12178571.0,1991-11-10,78.0,213.0,5.6,1.4,2.3,0.072,78.0,198.2,83.5,105.5,30.0,36.5,11.36,3.25,7.0,4.85,79.25,9.0,9.5,2.84
16,6571800.0,1998-09-19,73.0,180.0,25.7,9.4,4.1,0.151,72.5,177.8,75.0,95.5,,,,,,5.35,73.75,8.0,9.25,
17,3458400.0,,,,,,,,,,,,,,,,,,,,,
18,1517981.0,1998-03-12,71.0,200.0,5.1,0.6,1.1,0.076,70.75,195.6,78.25,94.5,28.5,34.5,11.59,3.2,12.0,6.3,72.0,8.5,9.25,3.15
19,1517981.0,1998-03-12,71.0,200.0,5.1,0.6,1.1,0.076,70.75,199.4,78.0,94.5,28.5,34.0,10.53,3.22,14.0,5.5,72.25,8.75,9.0,2.82
20,92857.0,1994-09-07,73.0,201.0,1.8,0.7,0.7,,72.0,193.8,77.5,93.0,37.5,43.5,10.81,3.25,,6.5,73.25,8.25,9.0,2.87
21,17450000.0,1992-10-29,79.0,205.0,19.6,3.7,3.0,0.107,,,,,,,,,,,,,,
22,2498760.0,1998-11-30,78.0,236.0,5.0,0.9,2.9,0.043,77.75,240.2,81.75,104.5,26.0,31.5,10.83,3.33,20.0,5.4,79.5,9.0,10.5,3.27
23,1039080.0,1995-12-17,80.0,260.0,2.3,0.4,1.4,,,,,,,,,,,,,,,
24,23437500.0,1996-10-24,78.0,223.0,24.7,3.9,5.6,0.132,77.25,222.8,83.75,102.5,,,,,,5.05,78.75,8.75,9.0,
25,9897120.0,1998-03-03,80.0,210.0,24.9,4.3,6.8,0.145,,,,,,,,,,,,,,
26,34379100.0,1990-05-08,72.0,184.0,17.7,4.6,3.6,0.114,71.5,184.0,75.5,91.5,32.0,39.5,10.87,3.16,7.0,5.9,73.0,8.0,9.0,
27,2250000.0,1995-07-15,86.0,250.0,2.0,0.3,1.2,0.08,,,,,,,,,,,,,,
28,13446428.0,1994-03-06,75.0,220.0,12.8,5.4,2.8,0.09,74.0,227.2,81.25,99.0,33.0,36.0,10.82,3.26,,10.55,75.25,9.0,8.75,2.96
29,2161920.0,1997-04-26,83.0,245.0,7.1,1.3,2.9,0.094,82.0,231.2,84.0,108.0,25.5,32.5,12.0,3.35,,6.7,83.25,8.75,10.75,2.98
30,2161920.0,1997-04-26,83.0,245.0,7.1,1.3,2.9,0.094,82.5,241.4,84.0,108.0,27.0,34.0,11.48,3.18,8.0,6.75,83.5,9.0,10.75,3.07
31,2035800.0,,,,,,,,,,,,,,,,,,,,,
32,2029920.0,,,,,,,,,,,,,,,,,,,,,
33,3631200.0,1999-10-25,76.0,216.0,2.5,0.4,1.3,0.024,76.5,,83.0,103.0,,,,,,,78.0,9.0,9.0,
34,1752950.0,1994-12-05,78.0,240.0,5.4,0.8,3.0,0.063,77.25,241.4,81.75,102.0,35.0,40.5,10.58,3.16,19.0,5.5,78.75,8.75,9.5,3.07
35,9258000.0,1991-03-13,81.0,254.0,7.9,1.0,8.4,0.106,79.5,227.4,85.25,108.5,30.0,35.0,10.92,3.26,9.0,6.2,80.75,8.75,9.25,
36,110998.0,1996-04-22,79.0,212.0,2.0,0.4,2.8,0.098,79.25,216.6,80.75,103.0,25.0,31.0,11.83,3.38,8.0,8.1,80.0,8.5,9.75,3.28
37,163818.0,1991-12-04,79.0,210.0,1.2,0.8,3.0,0.023,78.25,205.8,83.0,104.5,30.0,36.5,11.36,3.34,10.0,7.05,79.0,8.75,9.5,3.02
38,776873.0,1989-03-16,81.0,250.0,11.6,3.5,5.0,0.085,80.5,248.4,83.25,105.0,32.0,35.5,10.95,3.28,22.0,8.2,82.0,,,
39,1663861.0,,,,,,,,,,,,,,,,,,,,,
